Phase,Personne,Groupe,ID,Tache,Points,Reference_cours_ou_commentaire
Phase 1,P5,Frontend,DASH-1.4,Bouton Nouveau paquet + entree du dashboard,1,Hors cours - auto-formation HTML/CSS
Phase 1,P5,Frontend,DASH-1.5,Bandeau utilisateur (avatar initiales + acces profil),1,Hors cours - auto-formation HTML/CSS
Phase 1,P5,Frontend,DASH-1.6,Paquets cliquables partout (cards + titres -> ecran de visualisation),1,Exigence sujet TER : un clic sur le titre amene a l'ecran de visualisation
Phase 2,P1,BD,BD-2.1,Ajustements schema post-feedback Phase 1,2,Hors cours - auto-formation SQL
Phase 2,P1,BD,BD-2.2,Index email id_proprietaire FK,1,Hors cours - auto-formation SQL
Phase 2,P1,BD,BD-2.3,Implementer Database reel (PDO SQLite Singleton),2,Ch8 - Singleton (PDO non vu - auto-formation)
Phase 2,P1,BD,BD-2.4,Gestion exceptions PDO + wrapper securise,2,Hors cours - auto-formation PDO
Phase 2,P1,BD,BD-2.5,UtilisateurRepository (find create update delete searchByEmail) + Factory fromRow sur Utilisateur,3,Patrons Repository + Factory (sujet TER) - auto-formation OO
Phase 2,P1,BD,BD-2.6,PaquetRepository (CRUD + findByOwner + findShared) + Factory fromRow sur Paquet,3,Patrons Repository + Factory (sujet TER) - hors cours
Phase 2,P1,BD,BD-2.7,QuestionRepository (CRUD + findByPaquet) + Factory fromRow sur Question,2,Patrons Repository + Factory (sujet TER) - hors cours
Phase 2,P1,BD,BD-2.8,PartageRepository (create list revoke) + Factory fromRow sur Partage,2,Patrons Repository + Factory (sujet TER) - hors cours
Phase 2,P1,BD,BD-2.9,Script reset.php (drop + recreate + seed),1,Hors cours - auto-formation
Phase 2,P2,Backend,BACK-2.1,Router JS (hashchange uniquement - History API hors cours),3,Hors cours - auto-formation jQuery - hashchange suffit pour SPA
Phase 2,P2,Backend,BACK-2.2,Mapping routes vers vues (login register dashboard edit study profil visualisation-paquet),2,Hors cours - auto-formation JS SPA
Phase 2,P2,Backend,BACK-2.3,Route 404 + redirection fallback,1,Hors cours - auto-formation
Phase 2,P2,Backend,BACK-2.4,Service AjaxService (wrapper $.ajax base URL headers token CSRF),2,Hors cours - auto-formation jQuery AJAX
Phase 2,P2,Backend,BACK-2.5,Intercepteur 401 vers redirection login,2,Hors cours - auto-formation
Phase 2,P2,Backend,BACK-2.6,Loader/spinner global pendant requetes,1,Hors cours - auto-formation CSS/jQuery
Phase 2,P2,Backend,BACK-2.7,Gestionnaire d'erreurs PHP (try/catch vers JSON propre - display_errors Off),2,Hors cours - auto-formation PHP (exceptions OO Ch5-6 applicables)
Phase 2,P2,Backend,BACK-2.8,Logger applicatif simple (fichier - ne compte pas comme 2eme patron Singleton),1,Hors cours - auto-formation
Phase 2,P2,Backend,BACK-2.9,Composant toast d'erreur/succes cote front,2,Hors cours - auto-formation
Phase 2,P3,Backend,AUTH-2.1,AuthController::register (password_hash BCRYPT + verif unicite email),3,Hors cours - hachage cite par sujet TER (auto-formation password_hash)
Phase 2,P3,Backend,AUTH-2.2,AuthController::login (password_verify + session_start + session_regenerate_id apres succes),3,Hors cours - sessions PHP citees par sujet TER comme auto-formation
Phase 2,P3,Backend,AUTH-2.3,AuthController::logout (session_destroy + suppression cookie PHPSESSID),1,Hors cours - auto-formation
Phase 2,P3,Backend,AUTH-2.4,Middleware checkAuth pour endpoints proteges ($_SESSION['id_user']),2,Hors cours - auto-formation
Phase 2,P3,Backend,AUTH-2.5,Validation serveur register (regex email MDP >= 6 date AAAAMMJJ titre 150 chars contenu non vide),2,Hors cours - regex citees par sujet TER (auto-formation)
Phase 2,P3,Backend,AUTH-2.6,Gestion contrainte unicite email + retour 409,1,Hors cours - auto-formation
Phase 2,P3,Backend,AUTH-2.12,Token CSRF en session + verification dans tous les endpoints POST/PUT/DELETE,2,Hors cours - bonne pratique securite (complement aux exigences sujet)
Phase 2,P3,Frontend,AUTH-2.7,Vue Login (HTML5 + binding $.ajax) conforme login.png,2,Hors cours - auto-formation HTML/jQuery
Phase 2,P3,Frontend,AUTH-2.8,Vue Register (HTML5 + double saisie MDP) conforme signup.png,2,Hors cours - auto-formation
Phase 2,P3,Frontend,AUTH-2.9,Validation JS register (regex MDP >= 6 date AAAAMMJJ confirmation MDP),3,Hors cours - regex/JS auto-formation (sujet TER l'impose)
Phase 2,P3,Frontend,AUTH-2.10,Validation dynamique au keyup/blur (.champ-invalide rouge + message rouge sous champ + recap rouge en bas + submit bloque),3,Hors cours - pattern fige par le binome (extension exigence sujet TER fond rouge + message rouge)
Phase 2,P3,Frontend,AUTH-2.11,Liens Login <-> Register + redirection post-inscription,1,Hors cours - auto-formation
Phase 2,P4,Frontend,FRONT-2.1,Vue edition paquet (liste des questions) conforme new_bag.png,2,Hors cours - auto-formation HTML/jQuery + reference mockups
Phase 2,P4,Frontend,FRONT-2.2,Formulaire ajout question (Q + R + difficulte) avec validation dynamique,2,Hors cours - auto-formation
Phase 2,P4,Frontend,FRONT-2.3,Edition inline d'une question existante,2,Hors cours - auto-formation
Phase 2,P4,Frontend,FRONT-2.4,Suppression d'une question (modale de confirmation),1,Hors cours - auto-formation
Phase 2,P4,Frontend,FRONT-2.5,Validation JS dynamique (Q et R non vides au keyup/blur),1,Hors cours - auto-formation - pattern rouge dynamique
Phase 2,P4,Frontend,FRONT-2.6,Vue Study (carte courante + structure navigation) conforme question_give_response.png et current_revision.png,3,Hors cours - auto-formation (structure derive du diagramme etats-transitions Ch5-6)
Phase 2,P4,Frontend,FRONT-2.7,Effet flip (.toggle entre div question et div reponse au clic - sans transform 3D si hors cours),2,Hors cours - auto-formation jQuery - alternative simple si CSS3 transform 3D pas dans initiation-HTML-CSS.pdf
Phase 2,P4,Frontend,FRONT-2.8,Boutons Check/Bad + binding API (update score session),1,Hors cours - auto-formation
Phase 2,P4,Frontend,FRONT-2.9,Fleches gauche/droite (clic + clavier),2,Hors cours - auto-formation JS evenements
Phase 2,P4,Frontend,FRONT-2.10,Ecran recapitulatif de fin de session conforme end_of_session.png,2,Hors cours - auto-formation
Phase 2,P4,Frontend,FRONT-2.11,Compteur score live dans le header de session,2,Hors cours - auto-formation jQuery
Phase 2,P4,Frontend,FRONT-2.12,Appel API fin de session (last_score calcul best_score - uniquement si proprietaire),2,Hors cours - auto-formation AJAX
Phase 2,P4,Frontend,FRONT-2.13,Affichage Dernier/Best sur les cartes-paquet du dashboard,1,Hors cours - auto-formation
Phase 2,P4,Frontend,FRONT-2.14,Gestion etats session study via flags JS simples (Q_affichee R_revelee Session_finie),2,Implementation directe du diagramme etats-transitions DESIGN-0.4 - pas pattern State (hors liste sujet TER)
Phase 2,P5,Fullstack,PAQ-1.1,GET /api/paquets (mes paquets tri date desc),2,Hors cours - auto-formation API REST
Phase 2,P5,Fullstack,PAQ-1.2,POST /api/paquets (titre <= 150 theme - validation serveur),2,Hors cours - auto-formation
Phase 2,P5,Fullstack,PAQ-1.3,PUT /api/paquets/:id (edition controle proprietaire),2,Hors cours - auto-formation
Phase 2,P5,Fullstack,PAQ-1.4,DELETE /api/paquets/:id (cascade questions + partages),2,Hors cours - auto-formation
Phase 2,P5,Fullstack,PAQ-2.1,Vue creation/edition paquet (titre + theme) conforme new_bag.png avec validation dynamique,2,Hors cours - auto-formation
Phase 2,P5,Fullstack,PAQ-2.2,Branchement front edition paquet sur API (POST creation + PUT edition + redirect visualisation + recap erreurs serveur),2,Hors cours - auto-formation - trou du decoupage initial entre PAQ-1 (backend) et PAQ-2.1 (form sans branchement)
Phase 2,P5,Fullstack,PAQ-1.5,Validation serveur titre obligatoire <= 150 contenu requis,2,Hors cours - auto-formation
Phase 2,P5,Fullstack,DASH-2.1,GET /api/paquets/shared (paquets recus tri date partage),2,Hors cours - auto-formation
Phase 2,P5,Fullstack,DASH-2.2,Branchement front Mes Flashcards sur l'API,2,Hors cours - auto-formation
Phase 2,P5,Fullstack,DASH-2.3,Branchement front Partagees avec moi sur l'API,2,Hors cours - auto-formation
Phase 2,P5,Fullstack,PAQ-1.6,Confirmation tri date desc cote serveur (SQL ORDER BY),1,Hors cours - auto-formation SQL
Phase 2,P5,Fullstack,SHARE-1.1,GET /api/users/search?q= (auto-completion email),3,Hors cours - auto-formation (auto-completion citee par sujet TER)
Phase 2,P5,Fullstack,SHARE-1.2,POST /api/paquets/:id/share (ajout destinataire - verif existe + pas proprietaire + pas deja partage),2,Hors cours - auto-formation
Phase 2,P5,Fullstack,SHARE-1.3,DELETE /api/paquets/:id/share/:userId,1,Hors cours - auto-formation
Phase 2,P5,Fullstack,SHARE-1.4,UI champ auto-completion en jQuery vanilla (keyup + ajax + render liste - pas jQuery UI) conforme share_bag.png,3,Hors cours - auto-formation - jQuery vanilla suffit (jQuery UI lib externe hors stack)
Phase 2,P5,Fullstack,VIEW-1.1,Liste des utilisateurs partages (chips + retrait) sur ecran de visualisation paquet,2,Hors cours - auto-formation HTML/CSS
Phase 2,P5,Fullstack,VIEW-1.2,GET /api/paquets/:id (ecran visualisation - titre date proprietaire liste destinataires),2,Exigence sujet TER : ecran de visualisation doit afficher destinataires de partage
Phase 2,P5,Fullstack,VIEW-1.3,Vue Visualisation paquet (liens Editer/Supprimer si proprietaire + liste destinataires chips),3,Exigence sujet TER : ecran de visualisation complet
Phase 2,P5,Backend,QST-1.1,POST /api/paquets/:id/questions (creer une question via QuestionRepository + Factory Question::creer),2,Hors cours - auto-formation - endpoint questions absent du decoupage FULL-2 initial
Phase 2,P5,Backend,QST-1.2,PUT /api/questions/:id (editer une question - controle proprietaire via le paquet parent),2,Hors cours - auto-formation
Phase 2,P5,Backend,QST-1.3,DELETE /api/questions/:id (supprimer une question - controle proprietaire),1,Hors cours - auto-formation
Phase 2,P5,Backend,QST-1.4,GET /api/paquets/:id/questions (lister les questions d'un paquet),1,Hors cours - auto-formation
Phase 2,P5,Backend,QST-1.5,Validation serveur question (contenu_question et contenu_reponse non vides + id_difficulte valide),1,Hors cours - parite avec la validation client FRONT-2.5
Phase 2,P5,Frontend,QST-1.6,Branchement front vue edition paquet + modale question sur les endpoints questions (remplace les stubs FRONT-2.1-2.4),3,Hors cours - auto-formation AJAX
Phase 2,P5,Backend,STUDY-1.1,GET /api/paquets/:id/study (charger les questions d'une session de revision via QuestionRepository::findByPaquet),2,Exigence sujet TER : mode revision Anki - endpoint backend absent du decoupage initial
Phase 2,P5,Backend,STUDY-1.2,POST /api/paquets/:id/score (calcule last_score + met a jour best_score - proprietaire uniquement),2,Exigence sujet TER : last_score/best_score strictement personnels au proprietaire
Phase 2,P5,Frontend,STUDY-1.3,Branchement front mode etude (study.js) sur les vraies questions (remplace les questions stub),3,Hors cours - auto-formation AJAX - complete FRONT-2.6 a 2.9
Phase 2,P5,Frontend,STUDY-1.4,Branchement fin de session sur POST score + mise a jour Dernier/Best des cartes-paquet,2,Hors cours - auto-formation - complete FRONT-2.12 et FRONT-2.13
Phase 2,P5,Frontend,WIRE-1.1,Branchement bouton Reviser des cartes-paquet (navigation vers #study-:id),1,Hors cours - auto-formation
Phase 2,P5,Frontend,WIRE-1.2,Branchement bouton Editer des cartes-paquet (navigation vers #edit-paquet-:id),1,Hors cours - auto-formation
Phase 2,P5,Frontend,WIRE-1.3,Comportement du bouton menu du header (afficher/masquer la sidebar),1,Complement UI-1.3 - le bouton menu existe mais reste sans comportement
Phase 2,P5,Fullstack,WIRE-1.4,Compteurs du profil (Paquets / Record / Sessions) branches sur les vraies donnees,2,Hors cours - auto-formation - complete la vue profil my_profile.png
Phase 2,P5,Frontend,OPT-1.1,Optionnel - Recherche de paquets dans le topbar (filtrage client des colonnes du dashboard),2,Hors-sujet - non exige par le sujet TER - sinon retirer le champ de recherche
Phase 2,P5,Frontend,OPT-1.2,Optionnel - Section Parametres OU retrait du lien Parametres de la sidebar,1,Hors-sujet - seule preference reelle = Dark/Light deja implementee
Phase 2,P5,Backend,OPT-1.3,Optionnel - Changement de mot de passe (endpoint BCRYPT + formulaire profil avec validation),2,Hors-sujet - non exige - sinon laisser le bouton en a venir
Phase 2,P5,Fullstack,OPT-1.4,Optionnel - Modification de l'avatar (upload $_FILES + stockage + colonne avatar du modele),3,Hors-sujet - colonne avatar prevue au modele mais upload hors perimetre
Phase 2,P5,Backend,OPT-1.5,Optionnel - Suppression du compte (endpoint DELETE + cascade + confirmation),2,Hors-sujet - non exige - action destructrice a confirmer
Phase 2,P5,Frontend,OPT-1.6,Optionnel - Retrait ou implementation de l'icone notifications (cloche) du header,1,Hors-sujet - pur decor de la maquette dashboard.png
Phase 3,Tous,Documentation,DOC-0,Convention doc : un fichier docs/NN-section.md par tache - plages reservees par personne (ARCH 10-19 / BD 20-29 / AUTH 30-39 / FONC 40-49 / UI 50-59) - chacun ne touche que sa plage - rapport.pdf assemble par QA-11,0,Organisation doc - evite les conflits sur un fichier rapport unique
Phase 3,P1,Documentation,DOC-BD.1,Doc MCD + MLD (schema + commentaires) -> docs/20-modele-donnees.md,2,Derive Ch3-4 (modelisation) - mapping relationnel hors cours
Phase 3,P1,Documentation,DOC-BD.2,Doc contraintes et regles metier BD -> docs/21-regles-metier.md,1,Documentation - autonome (OCL Ch3-4 mentionnable)
Phase 3,P1,Documentation,DOC-BD.3,Doc scripts install / seed / reset -> docs/22-scripts-bd.md,1,Documentation - autonome
Phase 3,P2,Documentation,DOC-ARCH.1,Justification de l'architecture MVC (rapport) -> docs/10-architecture.md,2,Ch8 - MVC/MVP/MVVM (comparaison attendue)
Phase 3,P2,Documentation,DOC-ARCH.2,Doc diagramme de composants (couches Vue Controller Repository BD - composants UML 2) -> docs/10-architecture.md,1,Ch3-4 - diagramme de composants UML (distinct du diagramme de deploiement)
Phase 3,P2,Documentation,DOC-ARCH.3,Doc patrons utilises (Singleton DB + Repository + Factory fromRow + Strategy optionnel) avec extraits de code -> docs/11-patrons.md,3,Ch8 - design patterns - 3 patrons minimum exiges par sujet TER (pas 5)
Phase 3,P2,Documentation,DOC-ARCH.4,Doc diagrammes de sequence (login partage session Anki) -> docs/12-diagrammes-sequence.md,2,Ch3-4 - sequences User-System et Object-Object
Phase 3,P3,Documentation,DOC-AUTH.1,Doc sessions PHP (cycle de vie cookies session_regenerate_id) -> docs/30-sessions.md,1,Hors cours - auto-formation (sujet TER l'exige)
Phase 3,P3,Documentation,DOC-AUTH.2,Doc hachage BCRYPT (algorithme cout salage) -> docs/31-bcrypt.md,1,Hors cours - sujet TER (auto-formation)
Phase 3,P3,Documentation,DOC-AUTH.3,Doc validation client/serveur (matrice regles + pattern rouge dynamique) -> docs/32-validation.md,1,Hors cours - regex auto-formation + pattern UI binome
Phase 3,P3,Documentation,DOC-AUTH.4,Doc regles d'acces + middleware + CSRF -> docs/33-acces-csrf.md,1,Documentation - autonome
Phase 3,P4,Documentation,DOC-UI.1,Charte graphique + themes Dark/Light alignee avec project-files/interface/ (palette typo border) -> docs/50-charte-graphique.md,2,Hors cours - auto-formation UX + reference mockups equipe
Phase 3,P4,Documentation,DOC-UI.2,Parcours utilisateur (wireframes commentes) renvoyant aux mockups project-files/interface/ -> docs/51-parcours-utilisateur.md,2,Lien Ch3-4 cas d'utilisation (wireframes hors cours mais fournis par binome)
Phase 3,P4,Documentation,DOC-UI.3,Justification choix UX (flip navigation feedback dashboard 2 colonnes vs onglets) -> docs/52-justifications-ux.md,1,Hors cours - justifier l'exception dashboard
Phase 3,P5,Documentation,DOC-FONC.1,Doc CRUD paquets / questions -> docs/40-crud.md,1,Documentation - autonome
Phase 3,P5,Documentation,DOC-FONC.2,Doc partage + auto-completion (jQuery vanilla) + ecran visualisation avec destinataires -> docs/41-partage.md,2,Documentation - autonome
Phase 3,P5,Documentation,DOC-FONC.4,Doc session Anki + scoring (Strategy si retenu) + last_score/best_score proprietaire -> docs/42-revision-scoring.md,1,Lien Ch5-6 (etats-transitions) + Ch8 (Strategy optionnel)
Phase 3,Tous,QA,QA-1,Plan de tests (matrice fonctionnalites x comptes test),2,Hors cours - autonome
Phase 3,Tous,QA,QA-2,Tests inscription / connexion / deconnexion (parite client/serveur),1,Hors cours - autonome
Phase 3,Tous,QA,QA-3,Tests CRUD paquets et questions,2,Hors cours - autonome
Phase 3,Tous,QA,QA-4,Tests partage entre comptes (auto-completion + visualisation destinataires + paquets cliquables),2,Hors cours - autonome
Phase 3,Tous,QA,QA-5,Tests session Anki (flip score navigation fin last_score/best_score),2,Hors cours - autonome
Phase 3,Tous,QA,QA-6,Tests Dark/Light + responsive + conformite UI vs mockups project-files/interface/,2,Hors cours - exigence binome + sujet UX/UI
Phase 3,Tous,QA,QA-7,Validation W3C HTML + CSS2 (zero erreur),1,Hors cours - exigence sujet TER (auto-formation)
Phase 3,Tous,QA,QA-8,Tests securite (injection SQL XSS hijacking session CSRF),2,Hors cours - auto-formation securite web
Phase 3,Tous,QA,QA-9,Verif indentation 4 espaces tous fichiers PHP/JS/CSS/HTML,1,Exigence sujet TER : -2 pts si non respecte
Phase 3,Tous,QA,QA-10,installation.txt final + verification archive projet-progweb-gN.zip (sans .git .claude project-files data BD),1,Documentation - autonome (exigence sujet TER format archive)
Phase 3,Tous,QA,QA-11,Compilation rapport.pdf (concatene docs/*.md dans ordre numerique),3,Documentation - autonome
